solvent ID,smiles,EA_0-1
zinc_4759331,C=C[C@@H](O)CN1C[C@@H]1CC(C)C,-3.71209187979277
zinc_45621996,C[C@H](O)CCCOC(C)(C)C,-5.841957724352264
10219385,C1COC[C@@H]1C#N,-3.587832060103238
zinc_666884099,COCCN(C)C(=O)CCCF,-4.251732091193189
zinc_5807589,CCN(CC)CCC[C@@H](C)NC,-5.511342640415268
zinc_107118805,CC(C)N[C@@H](CCO)C1CC1,-5.013099898444775
zinc_322719795,CC[C@](C)(CNCCCF)OC,-4.298296717100129
zinc_35733624,C[C@H](NCC#N)C1CC1,-3.6392390984448126
zinc_43199276,CC1(C)CCO[C@@H]1O,-4.610290223835113
zinc_133268428,CCOC[C@@H](C)N[C@@H](C)CC1CCC1,-5.335494779275118
zinc_2040173,CCCCN(C)C,-4.2952806362701486
zinc_84177723,CC(C)[C@H](C)NCCOC(F)(F)F,-4.403788524350127
zinc_393342,CCO[C@@H](C)CCO,-5.696466870465271
zinc_308140091,CC.[C@H]1(C[C@@H]2CCC[N@@]2C1)C=O.C,-3.3096414362734423
zinc_824555314,CC(C)C[C@H](C)NC(CF)CF,-5.519085844559309
zinc_1353275122,CC(C)CC[C@@H](O)CNCCF,-4.704798176165476
zinc_308403139,CC[C@@H]1CC[C@@H]1NCCOC(C)C,-5.4085537554435685
zinc_887098991,N#CCN(CC(F)F)C1CCC1,-3.619227558549796
13751610,C[C@H]1COC(=O)O[C@@H]1C,-4.44991489533509
zinc_161875058,CCOC[C@@H](C)NCCC1CCC1,-5.403025401033138
zinc_307967747,C1CC(OCCN2CCCC2)C1,-5.266540381347207
zinc_70595425,C=CCCCN(CC(=O)OC)C(C)C,-3.998752710883017
zinc_70656364,CC[C@@H](S)COC,-3.848187411398032
zinc_379311644,C[C@@H]1COCCN1CCCCF,-5.502501778239296
zinc_307959703,C=CCN(CC=C)C[C@H](O)CC,-3.850239579272999
zinc_679850407,CO[C@H](C)CN(C)CC(F)F,-5.376039637305123
zinc_639836947,CC[C@H](C)CN1CCO[C@@H](OC)C1,-5.57348342176252
zinc_887138621,CCCCCN(C)CCCF,-5.878156837305848
zinc_307759536,C[C@@H]1CN(CCC(F)(F)F)C[C@H]1O,-4.777545933676482
zinc_38171511,CC(C)C(C)(C)[C@]1(C)O[C@H]1C,-5.588397479793283
zinc_51696358,CCCC[C@@H](COC)NCCC,-5.563327794819088
zinc_2509146,CCCCCCNCCCC,-4.550104615543808
zinc_85350969,COC(CN1CCO[C@H](C)C1)OC,-5.57070379274643
zinc_22002280,COC(=O)OCC(=O)O,-3.798770113991581
zinc_378759039,COC[C@@H](C)N[C@@H]1CCC[C@H]1OC,-5.552681185492677
zinc_20037678,COC(=O)CNCC1CC1,-3.9193687564787822
zinc_336255736,OCCN1CCC(CF)CC1,-4.463047347150055
zinc_229978956,C=C(C)CNC[C@H](O)CC,-4.023755631088868
